Original_Gene,locus_name,symbol,full_name
ACR,AT1G69040,ACR4,ACT domain repeat 4
Auxin,,,
CLE,AT5G12990,CLE40,CLAVATA3/ESR-RELATED 40
IAA5,AT1G15580,IAA5,indole-3-acetic acid inducible 5
JKD,AT5G03150,JKD,JACKDAW
MGP,AT1G03840,MGP,Magpie
PHB,AT2G34710,PHB,PHABULOSA
SCR,AT3G54220,SCR,SCARECROW
SHR,AT4G37650,SHR,SHORT ROOT
WOX5,AT3G11260,WOX5,WUSCHEL related homeobox 5
miRNA165,,,
