WT_1_1 WT_2_2 WT_3_3 WT_4_4 WT_5_5 WT_6_6 WT_7_7
XLOC_000080 0 0 0 0 0 0 0
XLOC_000081 110.951 110.448 109.296 105.629 77.3559 39.4448 9.78856
XLOC_000082 0.0177155 0.0126875 0.0448047 0.0827148 0.165995 0.248921 0.294355
XLOC_000083 0.0384212 0.0236333 0.00856472 0 0.0243593 0 0.00474103
XLOC_000084 0 0 0 0 0 0 0
XLOC_000085 161.157 153.347 52.9413 32.6597 35.7895 57.9051 68.5397
XLOC_000086 2.30191 0.434717 0.0128497 0 0 0 0.179754
XLOC_000087 0 0 0 0 0 0 0
XLOC_000088 0 0.0013947 0 0 0.0168511 0 0.00857122
XLOC_000089 0 0 0 0 0 0 0
XLOC_000090 0 0.0118026 0 0 0 0 0
XLOC_000091 1.05131 0.223506 0.0491193 0.0313995 0.0542872 0.788028 1.05423
XLOC_000092 0.318462 0.207534 0.132244 0.0285982 0.0219428 0.159007 0.322861
XLOC_000093 0.513931 0.807759 0.569571 0.361213 0.197451 0.0212934 0.557397
XLOC_000094 20.3536 19.0026 21.1089 23.3037 24.0348 37.6322 44.3747
XLOC_000095 0 0.0431051 0.039226 0 0 0 0
XLOC_000096 33.4608 25.9506 4.30441 2.92665 2.43945 2.8744 3.93709
XLOC_000097 0.10264 0.316782 5.04924 35.4234 142.916 783.411 1071.99
XLOC_000098 8.31223 11.96 17.9919 15.4147 9.10518 3.33593 1.03314
XLOC_000099 8.09009 8.78198 12.1813 13.3453 14.617 21.4601 17.8085
XLOC_000100 2.20052 3.12446 1.93293 1.81238 2.54153 2.54127 2.87953
XLOC_000101 0.0831084 0.0454355 0.0258663 0.259631 0.0307993 0.116172 0.121397
XLOC_000102 7.20201 11.2278 34.7315 68.6699 104.497 282.183 195.628
XLOC_000103 98.6467 71.2295 38.97 40.9063 39.9015 47.8552 67.151
XLOC_000104 0.52862 3.42241 47.2541 235.227 484.012 443.843 263.347
XLOC_000105 20.9137 23.9111 10.9937 6.81185 4.3308 3.23122 4.93432
XLOC_000106 0 0 0 0 0 0 0
XLOC_000107 13.0043 14.016 6.14543 3.25973 1.09621 0.0531706 0
XLOC_000108 0.738355 0.0170682 0 0.020597 0 0 0.00848213
XLOC_000109 0 0 0 0 0 0 0
XLOC_000110 0 0 0 0 0 0 0
XLOC_000111 12.6778 14.8219 13.8703 17.2353 34.3016 68.1 97.2934
XLOC_000112 0.40506 0.17353 0.0698196 0.029865 0.0241939 0.0173961 0.0221372
XLOC_000113 0.396456 0.456347 2.07411 4.95315 4.44459 11.0916 7.51176
XLOC_000114 5.19889 7.60529 16.6173 17.1749 19.9318 15.5728 22.6384
XLOC_000115 0 0.00797974 1.27248 2.65941 1.64358 0.857666 2.27275
XLOC_000116 23.1083 18.1526 7.35784 4.18626 3.7004 2.1968 1.82106
XLOC_000117 11.5068 37.5095 70.5801 65.5936 71.294 185.449 199.907
XLOC_000118 20.0483 13.6149 9.90427 9.61758 10.1986 11.647 9.67919
XLOC_000119 9.01143 10.5003 5.86727 3.15525 2.81784 3.00289 4.74887
XLOC_000120 0.0523854 0.0252574 0.0192298 0 0 0 0
XLOC_000121 3.71155 2.62561 0.725169 0.750294 1.61748 2.3869 3.16941
XLOC_000122 3.75937 3.97103 3.42407 3.14605 3.53639 4.76371 7.53175
XLOC_000123 62.3023 81.5427 99.6858 69.6852 41.0758 13.9144 20.1464
XLOC_000124 10.2216 8.13266 4.26924 2.83594 1.77075 0.476786 0.398338
XLOC_000125 11.8728 10.2664 5.22387 1.66737 0.871176 0.874245 2.68229
XLOC_000126 4.6619 6.54064 19.7249 34.5535 37.1519 30.6482 26.9593
XLOC_000127 11.5473 11.3025 11.2316 12.8597 14.5237 16.1681 15.5696
XLOC_000128 5.12 2.72965 0.520092 0.259977 0.152375 0 0.0375746
XLOC_000129 7.76055 8.74013 15.4455 15.0346 12.2641 5.73467 1.16555
