WT_1_1 WT_2_2 WT_3_3 WT_4_4 WT_5_5 WT_6_6 WT_7_7
XLOC_000251 3.59373 4.29328 6.84068 7.30024 7.54919 4.78485 4.28239
XLOC_004407 15.0679 15.8745 12.0906 8.14925 4.42022 2.30082 1.95935
XLOC_000258 13.287 13.4979 14.7526 11.9813 10.2165 6.02676 4.39628
XLOC_004410 5.94583 5.65665 1.57617 0.936981 0.58169 0.13198 0.0295684
XLOC_000268 175.031 142.295 40.4496 7.56543 2.98611 0.339702 0.100744
XLOC_004420 4.06471 4.29722 5.00886 4.94855 5.46804 3.96002 3.47649
XLOC_000283 4.18946 3.50732 1.12739 0.849919 0.876329 0.669935 0
XLOC_000284 52.1095 52.1354 46.245 33.7483 28.3153 18.5545 19.5122
XLOC_000285 13.631 12.0877 14.1966 15.5134 18.0218 20.3268 24.7789
XLOC_004432 17.6551 29.403 74.8963 98.1484 97.1746 67.3563 15.9131
XLOC_004448 278.325 279.04 170.145 134.46 100.878 139.734 110.98
XLOC_004449 5.99828 6.45187 8.96392 9.33034 8.25841 6.11119 4.0983
XLOC_000302 3.30589 4.62756 6.56484 5.83357 5.34216 3.59815 2.29904
XLOC_000303 20.6277 17.6782 11.1367 11.9238 10.3279 7.94236 5.30416
XLOC_000313 9.72701 13.3953 30.524 39.8819 35.2616 8.2847 0.999705
XLOC_000316 42.3863 51.0667 54.4028 45.241 61.8345 180.891 340.366
XLOC_004476 0 0.0235024 0 0 0 0 0.0275032
XLOC_000323 59.84 41.7216 18.8613 18.1562 18.4565 21.1164 19.3849
XLOC_004479 4.395 4.86018 11.2684 17.6594 16.7093 17.7415 16.5609
XLOC_000326 0.324838 1.35972 8.43137 8.64502 5.5797 0.42055 0.267102
XLOC_004486 0.0170862 0.0378607 0.241865 2.06025 10.854 72.8133 80.7486
XLOC_004487 7.4679 9.47621 5.43913 2.1156 1.56637 0.203526 0.32694
XLOC_000335 10.5223 9.93561 6.91994 5.48303 8.15442 14.812 17.7082
XLOC_004497 6.21715 12.7445 6.28389 43.9677 28.7507 33.1064 2.87989
XLOC_000342 2.72456 4.36743 4.53547 5.87829 10.0969 5.99216 1.52514
XLOC_004508 4.09454 4.47191 5.60949 5.47777 6.26076 6.68284 5.61428
XLOC_004511 752.259 496.12 259.156 198.269 191.687 91.4833 63.8929
XLOC_004514 11.5775 14.1797 20.2802 23.6511 22.329 8.81955 2.85087
XLOC_000357 348.952 298.684 126.802 63.728 35.3117 20.8741 1.46688
XLOC_004540 4.72531 4.69372 7.39541 15.7918 19.1217 18.3632 22.9984
XLOC_004550 0.0667738 0.0399084 0.0110395 0.0323558 0.00972432 0.0482419 0
XLOC_004557 20.3875 23.4269 27.7914 27.2876 26.446 26.4567 18.1096
XLOC_004559 108.563 61.8938 26.2628 30.2582 31.8466 34.8904 29.3122
XLOC_000397 38.3008 51.5593 139.275 112.312 88.3325 82.5091 17.8649
XLOC_000398 10.0325 10.5258 8.3561 8.30744 10.5659 10.5407 11.1965
XLOC_000421 0 0.00336814 0.00515277 0.110893 0 0 0
XLOC_000425 47.4607 62.9301 42.3758 66.6066 69.825 52.7769 116.185
XLOC_004591 103.073 85.9511 80.0601 19.2983 8.5129 3.00951 1.93651
XLOC_000432 7.72174 10.6329 16.1932 22.579 16.8501 16.3685 17.1426
XLOC_000438 0 0 0 0 0.0107443 0 0
XLOC_000442 0.327712 0.228462 0.197206 0.347406 0.482532 0.276727 0.279852
XLOC_004600 22.1043 36.5096 42.9078 29.5706 27.7142 15.0763 11.3125
XLOC_004602 27.7851 31.8413 8.31435 1.73344 0.459655 0.0345025 0.0929194
XLOC_000448 25.6339 36.6527 47.105 41.1384 37.3961 22.6381 9.47014
XLOC_000454 28.1456 32.2785 33.7105 27.3351 17.4538 7.83259 2.97708
XLOC_000459 22.4509 28.3181 58.6366 67.4912 59.6734 43.2433 25.6578
XLOC_004616 8.60721 6.92664 4.60952 4.27677 3.92562 2.86616 2.08951
XLOC_004620 12.7055 14.7899 2.8538 0.666462 0.150013 0.055643 0.13093
XLOC_004623 11.2949 8.70527 5.41073 6.47067 9.39524 20.3543 32.0697
XLOC_004634 2.55076 2.40319 2.08528 3.02638 3.88758 7.48435 8.20133
XLOC_000473 10.4539 17.0184 42.5206 51.3509 40.9674 15.7779 3.18731
XLOC_004639 8.03821 10.7062 13.7726 11.8605 7.58924 1.87146 0.512963
XLOC_004647 5.49114 4.97694 4.09659 5.22085 6.11943 11.324 15.3954
XLOC_004650 28.162 45.2256 49.5209 31.6373 17.7595 1.17892 0.13568
XLOC_004652 0.0775084 0.148967 0 0 0 0 0
XLOC_000487 7.62401 4.23201 1.89731 3.2468 3.89082 7.49061 6.89107
XLOC_004658 1.80427 3.38846 2.66935 0.463401 0.173564 0 0
XLOC_004662 7.91711 13.8561 32.8855 36.9281 25.8584 18.1144 12.0477
XLOC_000499 5.66984 6.96914 7.28691 4.65566 2.94048 1.42126 1.77974
XLOC_004671 0.0773378 0.0427021 0.0379632 0.0132257 0.0268544 0 0
XLOC_004679 11.9072 11.7953 7.37551 5.99709 4.54037 4.98994 4.91727
XLOC_004680 0.102696 0.00156005 0 0 0 0.00763123 0
XLOC_004681 0.546183 0.597044 0 0.0753941 0.107985 0.0655286 0
XLOC_004685 5.04059 5.87189 5.14154 5.41175 7.37935 2.88246 1.02433
XLOC_000523 48.5682 53.9081 70.5744 61.7169 46.9026 24.2322 16.6773
XLOC_000524 795.42 834.046 263.418 75.3965 22.1749 3.89994 3.81296
XLOC_000528 5.76089 5.41855 6.53818 7.26888 8.13732 7.38944 7.07474
XLOC_004707 0 0.00194244 0.00782618 0.0341895 0.0422609 0.0322392 0
XLOC_000536 11.8881 16.6749 39.6783 63.232 92.5272 106.975 80.8789
XLOC_004712 0.0714516 0.33483 0.135023 0.170384 0.105169 0.0421285 0.128546
XLOC_000544 5.04497 7.1137 12.1146 15.706 14.6866 8.83972 1.91253
XLOC_004724 0 0 0 0 0 0.213445 0.581478
XLOC_000560 0.782952 1.08224 3.18415 5.18411 2.72903 0.380694 0.0335435
XLOC_004740 0.182984 0.121684 0.624993 1.15803 1.79453 0.532117 0.0295087
XLOC_004748 2.63706 2.72869 4.47269 3.72672 3.28102 1.8264 1.38821
XLOC_000599 11.7397 25.4276 28.2002 46.0509 35.9613 84.2946 14.8393
XLOC_000600 0.00635005 0.0541176 0.117082 0.153385 0.203547 8.77499 71.8273
XLOC_000619 19.5696 24.022 27.7629 28.3039 19.0998 7.28307 2.11138
XLOC_000637 99.5146 183.636 354.714 346.474 146.163 98.4013 105.271
XLOC_004800 0.733698 11.8026 123.586 139.134 105.885 57.2854 2.86638
XLOC_004803 226.901 256.063 104.36 51.297 18.5352 0.863434 0.473617
XLOC_004841 45.4246 45.0793 50.5174 53.4205 53.8875 54.6643 49.553
XLOC_004847 5.97781 6.27787 5.44374 7.18076 11.0598 22.1311 61.2184
XLOC_000687 23.1864 30.7075 35.2614 31.2707 35.7056 77.3937 69.7794
XLOC_004852 3.80735 0.332364 0.12056 0.0377157 0.0641389 0.0429714 0
XLOC_004853 0 0.00859706 0 0 0 0 0
XLOC_000699 0.29021 0.105192 0.0275616 0.0922869 0 0 0
XLOC_000723 40.7 40.711 19.254 10.5619 3.36763 0.215333 0
XLOC_004886 31.8927 37.4621 27.2884 9.85881 4.62195 0.665761 0.0326532
XLOC_000734 2.64741 3.86652 5.84945 8.22343 4.72617 1.40723 0
XLOC_000739 28.5417 32.9203 34.6465 30.2088 28.8103 21.7393 12.9781
XLOC_000742 0 0.350849 1.1351 1.27639 0.604416 0.760778 0.091386
XLOC_004919 110.818 99.4784 18.6499 16.5369 13.3388 10.7488 3.69867
XLOC_000748 8.77927 11.6255 13.9772 15.3026 11.6932 13.9575 15.2998
XLOC_000752 7.16377 9.49107 15.1922 31.7163 56.3681 59.7098 25.9787
XLOC_000754 13.4425 12.2857 5.9199 5.41078 2.72326 0.436858 0.0361074
XLOC_000755 7.55978 9.00051 23.6746 27.4327 24.2981 15.2591 10.4174
XLOC_000757 0.258112 0.339563 0.109834 0.154501 0.247945 0.842952 0.994049
XLOC_004939 23.725 24.3651 28.3226 28.617 32.1668 38.3214 53.5318
XLOC_004940 2.48088 1.11023 0.450478 0.385985 0.0464143 0.0124363 0
XLOC_004944 74.4263 76.2898 20.4365 5.83297 1.4478 0.13081 0.123098
XLOC_004948 118.964 112.918 86.7434 84.455 100.569 177.18 192.502
XLOC_000767 0.12109 0 0 0 0 0 0
XLOC_000775 208.223 246.159 206.438 130.981 70.7769 21.7113 28.8201
XLOC_004959 0.0749919 0.137171 0.063198 0.0833147 0.11079 0.0646058 0.167719
XLOC_000786 15.968 15.3332 2.1234 0.567739 0.553207 0.552535 1.15948
XLOC_000795 3.57728 12.8402 70.5161 108.105 81.3789 47.5775 4.32221
XLOC_000798 4.1687 1.63575 0.472617 0.489675 0.499197 1.72609 3.18048
XLOC_000800 74.5688 74.1307 70.696 51.0393 26.4259 2.19872 1.21098
XLOC_000802 700.149 400.469 169.331 156.379 173.624 109.947 87.3085
XLOC_000806 12.8573 15.5708 23.8305 19.931 19.7396 9.98946 3.46507
XLOC_004984 6.70839 5.55145 9.10401 9.45829 9.40008 6.52657 3.59798
XLOC_000827 0.217978 0.00280896 0 0 0 0 0
XLOC_000834 0.682394 0.326601 0.210601 0.296259 0.205745 0.0492862 0.346764
XLOC_000835 6.11309 7.35908 9.45536 15.4847 11.9485 2.26355 0.112707
XLOC_000847 0.336309 0.266137 0.0834679 0.0802006 0.098006 0 0.0290347
XLOC_000848 2.23632 2.69217 4.39543 5.68463 6.48732 6.4304 7.05277
XLOC_000849 7.92515 11.9705 29.6354 32.6772 30.1068 12.5629 6.21017
XLOC_000875 0.00929827 0 0 0 0 0 0
XLOC_000901 5.24734 5.84641 3.91128 1.29225 1.00521 0.618985 0.783532
XLOC_005048 0.0117772 0.00339396 0.032415 0.0325557 0.0168368 0.0380117 0.109813
XLOC_000917 0.0159488 0 0 0 0 0 0
XLOC_000920 15.2396 89.0688 752.845 1965.11 3159.41 4021.53 2392.6
XLOC_000933 29.4478 40.3725 48.7966 33.7615 25.2576 11.8411 10.7104
XLOC_005082 70.0767 71.9667 73.0851 81.7016 83.8926 145.082 144.639
XLOC_000940 0.20518 0.103434 0.0109783 0.0474215 0.0512777 0 0
XLOC_000943 9.43098 14.5748 28.9583 27.4062 26.2746 13.4129 7.94734
XLOC_000952 0 0 0.00786071 0 0 0 0.024189
XLOC_000957 12.4059 14.4501 21.7407 21.6543 21.0525 10.6918 5.69395
XLOC_000960 0.0417984 0.0790267 0.0521269 0.153554 0.122065 0.0274301 0
XLOC_000971 7.52302 5.07441 2.96741 4.7388 5.08904 6.31969 5.55228
XLOC_000984 14.498 17.7402 23.0938 18.2321 14.2617 7.34549 6.09637
XLOC_000985 9.61722 12.8842 10.2502 11.332 11.9274 13.1131 14.8867
XLOC_000990 7.67094 14.8807 25.1633 42.7797 53.3067 59.6158 25.274
XLOC_005129 2.37316 3.12111 4.12605 10.1314 12.9116 2.87226 0.884642
XLOC_005135 23.8389 30.1039 54.0668 41.716 17.7249 0.40005 0.0169509
XLOC_000997 21.0291 20.663 15.0551 9.72566 4.90991 0.660488 0.31892
XLOC_005140 6.90732 7.59639 10.53 10.62 9.6662 8.44225 9.57405
XLOC_001006 0.0645481 0.062912 0.12975 0.0328629 0.0218941 0 0
XLOC_005143 4.6541 2.99064 1.43083 1.15921 1.72691 11.3106 43.3733
XLOC_005144 1.10405 0.462029 0.415132 0.151392 0.0347454 0.165677 1.33703
XLOC_001012 0.0192998 0.0874341 0.217702 0.163827 1.3292 17.4942 119.845
XLOC_001013 0.0105033 0.00509732 0.215311 1.95122 33.1377 321.311 618.611
XLOC_001015 17.2591 13.7278 9.38583 9.73535 7.60745 6.35749 15.5996
XLOC_005152 2.66277 3.45262 10.8038 16.939 17.94 14.5501 13.7832
XLOC_005153 2.6023 4.44399 7.12875 7.23963 14.7522 70.9576 200.693
