XLOC_014807 XLOC_013064 XLOC_012837 XLOC_003529 XLOC_000687 XLOC_018330 XLOC_029592 XLOC_013703 XLOC_026267 XLOC_015660 XLOC_009140 XLOC_009222 XLOC_003894 XLOC_018120 XLOC_016645 XLOC_009562 XLOC_000385 XLOC_018861 XLOC_018860 XLOC_009706 XLOC_024561 XLOC_014430 XLOC_015644 XLOC_031799 XLOC_029847 XLOC_031798 XLOC_030327 XLOC_025571 XLOC_005286 XLOC_005591 XLOC_005076 XLOC_011901 XLOC_021567 XLOC_031116 XLOC_000154 XLOC_028514 XLOC_012505 XLOC_021419
XLOC_014807 0 0 0 0 0.26460052525877 1.638408641118 0 0 0 0 0.992926314734139 0.0591793396167976 0 0 0 0 0 0 0.998620673821697 0.0720159824372281 1.96892397612736 0 0 0 1.2050030023721 0 0 1.23807269971934 0 0.122222569544208 0.471205413731374 3.60463340009084 0 0 0 0.0853992586897081 0 0
XLOC_013064 0 0 0.0642987262680598 0.544979111175435 0 0 0.183728079096935 0 0 0 0 0.129561293999852 0.739252594186574 1.37360531133208 0 0.793968515301997 0.113121492875037 0 0.575714440981915 0 0.509320786296936 0.63180862385848 1.77379488108721 0 1.72702583607179 0 0.242742263441988 0.755888165276081 0 0 0 0 0 0 0.329115662329163 0 0.251495217023666 0.996854759954417
XLOC_012837 0 0.0644151240899171 0 2.42252773209486 2.13514303534483 0 3.25747394060542 2.22103765509564 2.15444827869164 0 0.246496822864781 0 0 1.33555688056286 0 0.637588380561513 2.83983675078242 0 0 0 0 0 0 0 1.06334988632341 0 4.96722676186457 1.57318963467103 0 0 0 0 0 0 3.52943870741536 0 0.0636510887073992 0
XLOC_003529 0 0.553458677925978 2.43768513984225 0 4.4970310362335 0 3.35926124033793 1.85170172276439 1.08183013512947 0 0 0 0 0 0 0 3.47709832529509 0.433212436107881 0 0 0 0 0 0 2.99959073494258 0 2.29287848632897 1.09225856820571 0 0 1.19693472862846 0 0.865482147830449 0 3.38650742520718 0 0.141048235820192 0
XLOC_000687 0.277538199522629 0 2.13008920515713 4.46851637301167 0 0 2.46568344451944 1.31502678660293 0.76402347646091 0 0.257031770983471 0 0 0.96361833277432 0 0 3.2752169844765 0.549718746345596 0 0 0 0 0.673245387558872 0 2.38122640973479 0 1.45638968272801 0.756876152320115 0 0 1.30891565880604 0 0.792000291057367 0 1.78272563391782 0 0.57645502918774 0
XLOC_018330 1.63041037799235 0 0 0 0 0 0 0 0 0.858345706127781 0.701871868218842 2.43675034296909 0.22448675737748 0.385259328277911 1.12804887688371 0.368186012032702 0 0 1.16544324111486 0.154432797893577 2.70978910006727 0.369849019572442 2.9141505238227 0.0607459280796818 0 0.593734891101711 0 0 1.51357973524614 1.18374175851765 0 2.20141666665651 0.352486263570414 0.499717977364542 0 0.539566881864869 0.00115825871849596 1.42425612375567
XLOC_029592 0 0.186022428176121 3.25196508852513 3.33801670032522 2.46861226992436 0 0 1.47872712053194 1.38822911613462 0 0.183772036361467 0 0 0.0785847657870342 0 0.190513381258455 4.92737525051126 0 0.024809024441072 0 0 0 0 0 1.81399244172858 0 3.01400177196175 2.55682355067295 0 0 0.447359027574705 0 0 0 4.56357543357721 0 0 0
XLOC_019570 1.57196962337773 2.18219518343525 0 0 0 0 0 0 0 0 1.65704900539676 0 0.293780783614587 0 0 0 0 0 0 0 0 0.164453560851701 0.429893428063494 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0239264871977166 0
XLOC_000001 0.634046651380537 0.089234035751197 0.879691244765816 0.111616367881579 0.198919631159771 1.03952883092298 0.798056096973797 0.890079503972981 0.907976180772301 0.0307445883582484 0 0 0 0.724416616954058 0 1.99201947141465 0.822416560340016 0 0 1.48358682705784 0.25377964437274 0.41798072636922 0.0737343254824354 1.75062234135037 0.423294854347091 0.211085563949984 1.317967503179 2.47661504860748 0 0 0 0 0.354415756328401 0 1.30010391626598 0.302195625625525 0 0.0332465433279531
XLOC_004141 0 0 0.960396610877342 1.84054288827852 2.59799045059042 0 1.40773842022204 0 0 0 0 0.0885199941448533 0.758643617240662 0 0 0 1.59551507823722 0 0 0 0 0.249179802279802 0.560466986761857 0.167478769138306 0 0 0.091951032925158 0 0.0899655621714519 0.33742832913108 0 0 0 1.58515880497083 0.468387282881242 0.943488823856982 0 0
