SHR	SCR
JKD	SHR
miRNA165	SHR
MGP	SHR
SHR	SHR
miRNA165	miRNA165
SCR	SCR
SCR	miRNA165
JKD	SCR
SCR	JKD
MGP	JKD
JKD	MGP
MGP	MGP
JKD	JKD
PHB	JKD
miRNA165	PHB
PHB	PHB
SHR	PHB
MGP	WOX5
WOX5	WOX5
CLE	WOX5
ACR	WOX5
IAA5	WOX5
WOX5	IAA5
Auxin	IAA5
IAA5	PHB
ACR	PHB
CLE	PHB
WOX5	PHB
PHB	WOX5
CLE	CLE
Auxin	PHB
