MGP	SHR	1.0
MGP	MGP	-1.0
ACR	WOX5	-1.0
JKD	SHR	1.0
JKD	SCR	1.0
JKD	MGP	1.0
JKD	JKD	1.0
PHB	JKD	-1.0
PHB	WOX5	-1.0
IAA5	WOX5	-1.0
CLE	WOX5	-1.0
SHR	SCR	1.0
miRNA165	SHR	1.0
miRNA165	PHB	-1.0
Auxin	IAA5	-1.0
WOX5	WOX5	1.0
SCR	SCR	1.0
SCR	miRNA165	1.0
SCR	JKD	1.0
