#ID	Name
AT1G69040	ACR
AT5G12990	CLE
AT1G15580	IAA5
AT5G03150	JKD
AT1G03840	MGP
AT2G34710	PHB
AT3G54220	SCR
AT4G37650	SHR
AT3G11260	WOX5
